card_name,data
Advanced Stitchwing,"{'card': 'Advanced Stitchwing', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'adarkar wastes', 'suggestions': ['ad nauseam', 'advanced stitchwing']}"
Capture Sphere,"{'card': 'Capture Sphere', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'cabal coffers', 'suggestions': ['capture of jingzhou', 'capture sphere']}"
Consecrated Sphinx,"{'card': 'Consecrated Sphinx', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'consider', 'suggestions': ['consecrated sphinx']}"
Forbidden Alchemy,"{'card': 'Forbidden Alchemy', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'forbidden orchard', 'suggestions': ['forbidden alchemy']}"
Disciple of the Ring,"{'card': 'Disciple of the Ring', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'disenchant', 'suggestions': ['disciple of the vault', 'disciple of the ring']}"
Mana Drain,"{'card': 'mana drain', 'colors': 'U', 'averageRound': 5, 'average': 36, 'numberAvailable': 32, 'numberTaken': 32, 'ratio': 1, 'lotusScore': 90.425531914894, 'drafts': [{'card': 'mana drain', 'draft': 'VRD Archives - StLotus10', 'gid': '234061621', 'occurrence': '2023-01-14T00:00:00.000Z', 'pick': 18, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-01-14T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - DIS17', 'gid': '1817121486', 'occurrence': '2023-01-30T00:00:00.000Z', 'pick': 34, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-01-30T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - DIS18', 'gid': '1321266086', 'occurrence': '2023-02-02T00:00:00.000Z', 'pick': 31, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-02-02T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - DIS19', 'gid': '84620412', 'occurrence': '2023-02-10T00:00:00.000Z', 'pick': 23, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-02-10T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - STLPresents3', 'gid': '402632389', 'occurrence': '2023-02-18T00:00:00.000Z', 'pick': 29, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-02-18T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - DIS20', 'gid': '2133326284', 'occurrence': '2023-03-01T00:00:00.000Z', 'pick': 19, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-03-01T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - StLotus11', 'gid': '925597639', 'occurrence': '2023-04-01T00:00:00.000Z', 'pick': 159, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-04-01T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - MT4', 'gid': '1664019276', 'occurrence': '2023-05-01T00:00:00.000Z', 'pick': 25, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-05-01T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - STLPresents4', 'gid': '1781732727', 'occurrence': '2023-05-20T00:00:00.000Z', 'pick': 47, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-05-20T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - CHI4', 'gid': '2020127240', 'occurrence': '2023-06-01T00:00:00.000Z', 'pick': 51, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-06-01T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - DIS21', 'gid': '1903257633', 'occurrence': '2023-06-28T00:00:00.000Z', 'pick': 18, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-06-28T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - DIS22', 'gid': '1884831148', 'occurrence': '2023-07-01T00:00:00.000Z', 'pick': 21, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-07-01T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - COL1', 'gid': '1582764244', 'occurrence': '2023-07-09T00:00:00.000Z', 'pick': 21, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-07-09T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - StLotus12', 'gid': '1968116436', 'occurrence': '2023-07-30T00:00:00.000Z', 'pick': 30, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-07-30T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - DIS23', 'gid': '1008615612', 'occurrence': '2023-08-01T00:00:00.000Z', 'pick': 13, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-08-01T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - NYC6', 'gid': '326077006', 'occurrence': '2023-08-17T00:00:00.000Z', 'pick': 32, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-08-17T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - DIS24', 'gid': '1716925941', 'occurrence': '2023-09-01T00:00:00.000Z', 'pick': 25, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-09-01T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - DIS25', 'gid': '1910684336', 'occurrence': '2023-10-15T00:00:00.000Z', 'pick': 31, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-10-15T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - StLotus13', 'gid': '1640330949', 'occurrence': '2023-12-02T00:00:00.000Z', 'pick': 17, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-12-02T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - TOR1', 'gid': '906554463', 'occurrence': '2024-01-01T00:00:00.000Z', 'pick': 30, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-01-01T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - DIS26', 'gid': '1918971365', 'occurrence': '2024-01-01T00:00:00.000Z', 'pick': 31, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-01-01T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - DIS27', 'gid': '997079292', 'occurrence': '2024-02-15T00:00:00.000Z', 'pick': 31, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-02-15T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - DIS28', 'gid': '1312128391', 'occurrence': '2024-03-03T00:00:00.000Z', 'pick': 33, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-03-03T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - DIS29', 'gid': '1693348956', 'occurrence': '2024-03-16T00:00:00.000Z', 'pick': 57, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-03-16T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - DIS30', 'gid': '1634458203', 'occurrence': '2024-05-01T00:00:00.000Z', 'pick': 46, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-05-01T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - StLotus14', 'gid': '1605454232', 'occurrence': '2024-05-04T00:00:00.000Z', 'pick': 13, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-05-04T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - MSP1', 'gid': '258078587', 'occurrence': '2024-06-06T00:00:00.000Z', 'pick': 29, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-06-06T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - DIS31', 'gid': '55679847', 'occurrence': '2024-07-16T00:00:00.000Z', 'pick': 94, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-07-16T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - STLPresents5', 'gid': '2100385436', 'occurrence': '2024-07-27T00:00:00.000Z', 'pick': 39, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-07-27T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - DIS32', 'gid': '1942684760', 'occurrence': '2024-08-16T00:00:00.000Z', 'pick': 26, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-08-16T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - DIS33', 'gid': '1901628944', 'occurrence': '2024-09-13T00:00:00.000Z', 'pick': 38, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-09-13T00:00:00.000Z'}, {'card': 'mana drain', 'draft': 'VRD Archives - STLPresents6', 'gid': '1637522781', 'occurrence': '2024-10-05T00:00:00.000Z', 'pick': 41, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-10-05T00:00:00.000Z'}]}"
Deranged Assistant,"{'card': 'Deranged Assistant', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'dead // gone', 'suggestions': ['deranged hermit', 'deranged assistant']}"
Domestication,"{'card': 'Domestication', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'domri, anarch of bolas', 'suggestions': ['domri, anarch of bolas', 'domestication']}"
Ingenious Skaab,"{'card': 'Ingenious Skaab', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'ingenious smith', 'suggestions': ['ingenious smith', 'ingenious skaab']}"
Mana Leak,"{'card': 'mana leak', 'colors': 'U', 'averageRound': 20, 'average': 158.7273, 'numberAvailable': 32, 'numberTaken': 22, 'ratio': 0.6875, 'lotusScore': 39.727388630319, 'drafts': [{'card': 'mana leak', 'draft': 'VRD Archives - StLotus10', 'gid': '234061621', 'occurrence': '2023-01-14T00:00:00.000Z', 'pick': 82, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-01-14T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS17', 'gid': '1817121486', 'occurrence': '2023-01-30T00:00:00.000Z', 'pick': None, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-01-30T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - DIS18', 'gid': '1321266086', 'occurrence': '2023-02-02T00:00:00.000Z', 'pick': 296, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-02-02T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - DIS19', 'gid': '84620412', 'occurrence': '2023-02-10T00:00:00.000Z', 'pick': 85, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-02-10T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - STLPresents3', 'gid': '402632389', 'occurrence': '2023-02-18T00:00:00.000Z', 'pick': 146, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-02-18T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - DIS20', 'gid': '2133326284', 'occurrence': '2023-03-01T00:00:00.000Z', 'pick': 212, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-03-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus11', 'gid': '925597639', 'occurrence': '2023-04-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-04-01T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - MT4', 'gid': '1664019276', 'occurrence': '2023-05-01T00:00:00.000Z', 'pick': 129, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-05-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents4', 'gid': '1781732727', 'occurrence': '2023-05-20T00:00:00.000Z', 'pick': None, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-05-20T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - CHI4', 'gid': '2020127240', 'occurrence': '2023-06-01T00:00:00.000Z', 'pick': 90, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-06-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS21', 'gid': '1903257633', 'occurrence': '2023-06-28T00:00:00.000Z', 'pick': None, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-06-28T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS22', 'gid': '1884831148', 'occurrence': '2023-07-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-07-01T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - COL1', 'gid': '1582764244', 'occurrence': '2023-07-09T00:00:00.000Z', 'pick': 36, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-07-09T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus12', 'gid': '1968116436', 'occurrence': '2023-07-30T00:00:00.000Z', 'pick': None, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-07-30T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS23', 'gid': '1008615612', 'occurrence': '2023-08-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-08-01T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - NYC6', 'gid': '326077006', 'occurrence': '2023-08-17T00:00:00.000Z', 'pick': 282, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-08-17T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - DIS24', 'gid': '1716925941', 'occurrence': '2023-09-01T00:00:00.000Z', 'pick': 287, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-09-01T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - DIS25', 'gid': '1910684336', 'occurrence': '2023-10-15T00:00:00.000Z', 'pick': 269, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-10-15T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - StLotus13', 'gid': '1640330949', 'occurrence': '2023-12-02T00:00:00.000Z', 'pick': 89, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2023-12-02T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - TOR1', 'gid': '906554463', 'occurrence': '2024-01-01T00:00:00.000Z', 'pick': 98, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2024-01-01T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - DIS26', 'gid': '1918971365', 'occurrence': '2024-01-01T00:00:00.000Z', 'pick': 269, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2024-01-01T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - DIS27', 'gid': '997079292', 'occurrence': '2024-02-15T00:00:00.000Z', 'pick': 158, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2024-02-15T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - DIS28', 'gid': '1312128391', 'occurrence': '2024-03-03T00:00:00.000Z', 'pick': 117, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2024-03-03T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - DIS29', 'gid': '1693348956', 'occurrence': '2024-03-16T00:00:00.000Z', 'pick': 133, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2024-03-16T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - DIS30', 'gid': '1634458203', 'occurrence': '2024-05-01T00:00:00.000Z', 'pick': 306, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2024-05-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus14', 'gid': '1605454232', 'occurrence': '2024-05-04T00:00:00.000Z', 'pick': None, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2024-05-04T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - MSP1', 'gid': '258078587', 'occurrence': '2024-06-06T00:00:00.000Z', 'pick': 95, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2024-06-06T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS31', 'gid': '55679847', 'occurrence': '2024-07-16T00:00:00.000Z', 'pick': None, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2024-07-16T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - STLPresents5', 'gid': '2100385436', 'occurrence': '2024-07-27T00:00:00.000Z', 'pick': 61, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2024-07-27T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - DIS32', 'gid': '1942684760', 'occurrence': '2024-08-16T00:00:00.000Z', 'pick': 70, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2024-08-16T00:00:00.000Z'}, {'card': 'mana leak', 'draft': 'VRD Archives - DIS33', 'gid': '1901628944', 'occurrence': '2024-09-13T00:00:00.000Z', 'pick': 182, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2024-09-13T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents6', 'gid': '1637522781', 'occurrence': '2024-10-05T00:00:00.000Z', 'pick': None, 'maxRelease': '1998-03-02T00:00:00.000Z', 'occurance': '2024-10-05T00:00:00.000Z'}]}"
Jeskai Elder,"{'card': 'Jeskai Elder', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': ""jeska's will"", 'suggestions': ['jeskai ascendancy', 'jeskai elder']}"
Mulldrifter,"{'card': 'mulldrifter', 'colors': 'U', 'averageRound': 20, 'average': 157, 'numberAvailable': 32, 'numberTaken': 1, 'ratio': 0.0313, 'lotusScore': 1.820146276596, 'drafts': [{'card': None, 'draft': 'VRD Archives - StLotus10', 'gid': '234061621', 'occurrence': '2023-01-14T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-01-14T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS17', 'gid': '1817121486', 'occurrence': '2023-01-30T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-01-30T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS18', 'gid': '1321266086', 'occurrence': '2023-02-02T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-02-02T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS19', 'gid': '84620412', 'occurrence': '2023-02-10T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-02-10T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents3', 'gid': '402632389', 'occurrence': '2023-02-18T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-02-18T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS20', 'gid': '2133326284', 'occurrence': '2023-03-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-03-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus11', 'gid': '925597639', 'occurrence': '2023-04-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-04-01T00:00:00.000Z'}, {'card': 'mulldrifter', 'draft': 'VRD Archives - MT4', 'gid': '1664019276', 'occurrence': '2023-05-01T00:00:00.000Z', 'pick': 157, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-05-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents4', 'gid': '1781732727', 'occurrence': '2023-05-20T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-05-20T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - CHI4', 'gid': '2020127240', 'occurrence': '2023-06-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-06-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS21', 'gid': '1903257633', 'occurrence': '2023-06-28T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-06-28T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS22', 'gid': '1884831148', 'occurrence': '2023-07-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-07-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - COL1', 'gid': '1582764244', 'occurrence': '2023-07-09T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-07-09T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus12', 'gid': '1968116436', 'occurrence': '2023-07-30T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-07-30T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS23', 'gid': '1008615612', 'occurrence': '2023-08-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-08-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - NYC6', 'gid': '326077006', 'occurrence': '2023-08-17T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-08-17T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS24', 'gid': '1716925941', 'occurrence': '2023-09-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-09-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS25', 'gid': '1910684336', 'occurrence': '2023-10-15T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-10-15T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus13', 'gid': '1640330949', 'occurrence': '2023-12-02T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2023-12-02T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - TOR1', 'gid': '906554463', 'occurrence': '2024-01-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2024-01-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS26', 'gid': '1918971365', 'occurrence': '2024-01-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2024-01-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS27', 'gid': '997079292', 'occurrence': '2024-02-15T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2024-02-15T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS28', 'gid': '1312128391', 'occurrence': '2024-03-03T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2024-03-03T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS29', 'gid': '1693348956', 'occurrence': '2024-03-16T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2024-03-16T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS30', 'gid': '1634458203', 'occurrence': '2024-05-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2024-05-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus14', 'gid': '1605454232', 'occurrence': '2024-05-04T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2024-05-04T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - MSP1', 'gid': '258078587', 'occurrence': '2024-06-06T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2024-06-06T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS31', 'gid': '55679847', 'occurrence': '2024-07-16T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2024-07-16T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents5', 'gid': '2100385436', 'occurrence': '2024-07-27T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2024-07-27T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS32', 'gid': '1942684760', 'occurrence': '2024-08-16T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2024-08-16T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS33', 'gid': '1901628944', 'occurrence': '2024-09-13T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2024-09-13T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents6', 'gid': '1637522781', 'occurrence': '2024-10-05T00:00:00.000Z', 'pick': None, 'maxRelease': '2007-10-12T00:00:00.000Z', 'occurance': '2024-10-05T00:00:00.000Z'}]}"
