average,averageRound,card,colors,lotusScore,numberAvailable,numberTaken,ratio,suggestion
,,Deadbridge Chant,,,32,0,,dead // gone
,,"Nahiri, the Harbinger",,,32,0,,"nahiri, the unforgiving"
,,"Garna, the Bloodflame",,,32,0,,garruk wildspeaker
,,"Adriana, Captain of the Guard",,,32,0,,adarkar wastes
,,Nyx Weaver,,,32,0,,"nykthos, shrine to nyx"
,,Temur Charm,,,32,0,,temur battle rage
345,44,kessig wolf run,GR,0.257646276596,32,1,0.0313,
,,"Isperia, Supreme Judge",,,32,0,,"isamaru, hound of konda"
,,Djinn Illuminatus,,,32,0,,dack fayden
,,"Rashmi, Eternities Crafter",,,32,0,,rack and ruin
,,"Wort, the Raidmother",,,32,0,,worldly tutor
,,Fluctuator,,,32,0,,flumph
,,Endless Sands,,,32,0,,endless one
,,Gavony Township,,,32,0,,gaea's blessing
,,Hostile Desert,,,32,0,,hostage taker
,,Soaring Seacliff,,,32,0,,soaring thought-thief
,,"Wydwen, the Biting Gale",,,32,0,,waker of waves
,,"Breena, the Demagogue",,,32,0,,breeding pool
,,"Felisa, Fang of Silverquill",,,32,0,,"feldon, ronom excavator"
,,"Zaffai, Thunder Conductor",,,32,0,,"zabaz, the glimmerwasp"
,,"Veyran, Voice of Duality",,,32,0,,vedalken shackles
,,"Alibou, Ancient Witness",,,32,0,,all is dust
,,"Willowdusk, Essence Seer",,,32,0,,wild growth
,,"Osgir, the Reconstructor",,,32,0,,ossification
,,"Adrix and Nev, Twincasters",,,32,0,,adarkar wastes
,,Archaeomancer's Map,,,32,0,,archive trap
,,"Esix, Fractal Bloom",,,32,0,,esper panorama
,,"Gyome, Master Chef",,,32,0,,gaea's blessing
,,Guardian Archon,,,32,0,,gush
,,Combat Calligrapher,,,32,0,,"comet, stellar pup"
,,Monologue Tax,,,32,0,,monastery mentor
,,Excavation Technique,,,32,0,,exhume
,,Inspiring Refrain,,,32,0,,inspiring vantage
,,Dazzling Sphinx,,,32,0,,daze
,,Commander's Insight,,,32,0,,commandeer
,,Scholarship Sponsor,,,32,0,,scheming fence
,,"Nils, Discipline Enforcer",,,32,0,,night's whisper
,,Muse Vortex,,,32,0,,muddle the mixture
,,"Deekah, Fractal Theorist",,,32,0,,"dee kay, finder of the lost"
,,Spawning Kraken,,,32,0,,spara's headquarters
,,Sly Instigator,,,32,0,,slaughter pact
,,"Octavia, Living Thesis",,,32,0,,occult epiphany
,,Replication Technique,,,32,0,,replenish
,,Blight Mound,,,32,0,,blightsteel colossus
291,37,keen duelist,B,1.41289893617,32,2,0.0625,
,,Author of Shadows,,,32,0,,authority of the consuls
,,Bold Plagiarist,,,32,0,,bolas's citadel
,,Essence Pulse,,,32,0,,esper panorama
,,Cunning Rhetoric,,,32,0,,cunning nightbonder
,,Theoretical Duplication,,,32,0,,the book of exalted deeds
95.9,12,"laelia, the blade reforged",R,69.838763297872,32,30,0.9375,
,,Stinging Study,,,32,0,,stifle
,,Veinwitch Coven,,,32,0,,vein ripper
,,Marshland Bloodcaster,,,32,0,,marsh flats
,,Incarnation Technique,,,32,0,,incinerate
,,Battlemage's Bracers,,,32,0,,battlefield forge
,,"Tivash, Gloom Summoner",,,32,0,,tivadar of thorn
,,Fiery Encore,,,32,0,,fiery confluence
,,Creative Technique,,,32,0,,creeping corrosion
,,Inferno Project,,,32,0,,inferno titan
,,Radiant Performer,,,32,0,,radical idea
,,Rousing Refrain,,,32,0,,robber of the rich
,,Ruin Grinder,,,32,0,,ruin crab
210.6923,27,pest infestation,G,17.860705618351,32,13,0.4063,
,,"Rionya, Fire Dancer",,,32,0,,ricochet trap
,,Blossoming Bogbeast,,,32,0,,blossoming calm
,,Surge to Victory,,,32,0,,surge of salvation
,,Fractal Harness,,,32,0,,fracture
,,Guardian Augmenter,,,32,0,,gush
,,Healing Technique,,,32,0,,headliner scarlett
,,Ezzaroot Channeler,,,32,0,,ezio auditore da firenze
,,Paradox Zone,,,32,0,,paradox engine
,,Trudge Garden,,,32,0,,true-name nemesis
,,Inkshield,,,32,0,,inkmoth nexus
,,Sproutback Trudge,,,32,0,,springheart nantuko
,,Sequence Engine,,,32,0,,"sea gate restoration // sea gate, reborn"
,,"Ruxa, Patient Professor",,,32,0,,ruby medallion
252,32,triplicate titan,,1.030585106383,32,1,0.0313,
,,Wake the Past,,,32,0,,waker of waves
,,Oversimplify,,,32,0,,overcharged amalgam
,,"Yedora, Grave Gardener",,,32,0,,"yasharn, implacable earth"
,,Reinterpret,,,32,0,,reality shift
327,41,dispatch,W,0.407247340426,32,1,0.0313,
,,Revival Experiment,,,32,0,,revitalizing repast // old-growth grove
,,Geometric Nexus,,,32,0,,geological appraiser
,,Witch's Clinic,,,32,0,,witch enchanter // witch-blessed meadow
,,Tempting Contract,,,32,0,,temple garden
,,Study Hall,,,32,0,,student of warfare
,,Aetherspouts,,,32,0,,aether channeler
182.1818,23,dig through time,U,35.438833111702,32,22,0.6875,
,,Elementalist's Palette,,,32,0,,electrickery
323,41,mind's desire,U,0.440492021277,32,1,0.0313,
,,Tragic Arrogance,,,32,0,,tragic fall
,,"Gideon, Champion of Justice",,,32,0,,"gideon, ally of zendikar"
,,Hunted Lammasu,,,32,0,,hullbreacher
,,Crafty Cutpurse,,,32,0,,crabomination
,,Curse of the Swine,,,32,0,,curse of opulence
,,Living Lore,,,32,0,,living wish
,,Metallurgic Summonings,,,32,0,,metallic rebuke
,,Necropolis Regent,,,32,0,,necropotence
,,Traumatic Visions,,,32,0,,tragic fall
,,Bloodthirsty Aerialist,,,32,0,,bloodtithe harvester
,,Silversmote Ghoul,,,32,0,,silverblade paladin
,,Epicure of Blood,,,32,0,,ephemeral shields
,,Diluvian Primordial,,,32,0,,diabolic intent
,,"Naru Meha, Master Wizard",,,32,0,,narcomoeba
,,Taste of Death,,,32,0,,tasha's hideous laughter
,,Suffer the Past,,,32,0,,submerge
,,Jaya Ballard,,,32,0,,jace's defeat
,,Pia Nalaar,,,32,0,,pick your poison
,,Brass's Bounty,,,32,0,,"braids, cabal minion"
,,Quicksmith Genius,,,32,0,,quickling
,,Erratic Cyclops,,,32,0,,errant and giada
,,Ageless Entity,,,32,0,,"agadeem's awakening // agadeem, the undercrypt"
,,Combustible Gearhulk,,,32,0,,"comet, stellar pup"
,,Hornet Nest,,,32,0,,horizon canopy
,,"Arashi, the Sky Asunder",,,32,0,,"aragorn, king of gondor"
,,Hydra Broodmaster,,,32,0,,hydroblast
,,Verdant Sun's Avatar,,,32,0,,verdant catacombs
,,Nissa's Expedition,,,32,0,,"nissa, resurgent animist"
,,Incubation Druid,,,32,0,,incinerate
,,Leyline Prowler,,,32,0,,leyline binding
401,51,elixir of immortality,,0,32,1,0.0313,
,,Gluttonous Troll,,,32,0,,glacial chasm
,,Debtors' Knell,,,32,0,,dead // gone
,,Magister of Worth,,,32,0,,"magda, brazen outlaw"
,,Primal Empathy,,,32,0,,primeval titan
,,Plaxcaster Frogling,,,32,0,,plague belcher
,,Sapling of Colfenor,,,32,0,,sapphire medallion
,,Boros Locket,,,32,0,,boros charm
,,Paradise Plume,,,32,0,,paradise mantle
,,Alhammarret's Archive,,,32,0,,all is dust
,,Pyromancer's Goggles,,,32,0,,pyroblast
,,Gingerbread Cabin,,,32,0,,gingerbrute
,,Radiant Fountain,,,32,0,,radical idea
,,Memorial to Genius,,,32,0,,memory deluge
,,Mage-Ring Network,,,32,0,,mages' contest
,,Sapseep Forest,,,32,0,,sapphire medallion
,,"Omnath, Locus of Mana",,,32,0,,"omnath, locus of creation"
,,Blessed Breath,,,32,0,,black lotus
,,Cleanfall,,,32,0,,clearwater pathway // murkwater pathway
,,Call to Glory,,,32,0,,call of the ring
,,Candles' Glow,,,32,0,,candelabra of tawnos
,,Ethereal Haze,,,32,0,,ethereal armor
,,Eight-and-a-Half-Tails,,,32,0,,"eiganjo, seat of the empire"
,,Harsh Deceiver,,,32,0,,harsh mentor
,,Devoted Retainer,,,32,0,,devoted druid
286,36,"isamaru, hound of konda",W,0.748005319149,32,1,0.0313,
,,"Sunhome, Fortress of the Legion",,,32,0,,sun titan
,,Horizon Seed,,,32,0,,horizon canopy
,,Hold the Line,,,32,0,,hope of ghirapur
,,"Hikari, Twilight Guardian",,,32,0,,hibernation
,,Innocence Kami,,,32,0,,innkeeper's talent
,,Indomitable Will,,,32,0,,indatha triome
,,Hundred-Talon Kami,,,32,0,,hullbreacher
,,Honden of Cleansing Fire,,,32,0,,hope of ghirapur
,,Kabuto Moth,,,32,0,,kaito shizuki
,,Kami of Ancient Law,,,32,0,,"kambal, consul of allocation"
,,Kitsune Blademaster,,,32,0,,"kitsa, otterball elite"
,,Kami of the Painted Road,,,32,0,,"kambal, consul of allocation"
,,Kitsune Healer,,,32,0,,"kitsa, otterball elite"
,,Kitsune Diviner,,,32,0,,"kitsa, otterball elite"
,,Kami of the Palace Fields,,,32,0,,"kambal, consul of allocation"
,,Lantern Kami,,,32,0,,land tax
,,Kitsune Riftwalker,,,32,0,,"kitsa, otterball elite"
,,Konda's Hatamoto,,,32,0,,kogla and yidaro
,,"Konda, Lord of Eiganjo",,,32,0,,kogla and yidaro
,,Masako the Humorless,,,32,0,,masked vandal
,,Otherworldly Journey,,,32,0,,otherworldly gaze
,,Mothrider Samurai,,,32,0,,mother of runes
,,Pious Kitsune,,,32,0,,pick your poison
,,Quiet Purity,,,32,0,,quickling
,,"Nagao, Bound by Honor",,,32,0,,"nadu, winged wisdom"
,,Myojin of Cleansing Fire,,,32,0,,mycosynth lattice
,,Reciprocate,,,32,0,,reckless stormseeker // storm-charged slasher
,,Samurai Enforcers,,,32,0,,"samut, vizier of naktamun"
,,Samurai of the Pale Curtain,,,32,0,,"samut, vizier of naktamun"
,,Sensei Golden-Tail,,,32,0,,sensei's divining top
,,Terashi's Cry,,,32,0,,terastodon
,,Silent-Chant Zubera,,,32,0,,silent clearing
,,Vigilance,,,32,0,,vindicate
,,"Takeno, Samurai General",,,32,0,,"takenuma, abandoned mire"
,,Vassal's Duty,,,32,0,,valakut awakening // valakut stoneforge
,,Aura of Dominion,,,32,0,,aura of silence
,,Callous Deceiver,,,32,0,,callous dismissal
,,"Yosei, the Morning Star",,,32,0,,"yoshimaru, ever faithful"
,,Consuming Vortex,,,32,0,,consider
,,Dampen Thought,,,32,0,,damping matrix
,,Cut the Tethers,,,32,0,,cut // ribbons
,,Eye of Nowhere,,,32,0,,eye of ugin
,,Field of Reality,,,32,0,,field of ruin
,,Eerie Procession,,,32,0,,earthcraft
,,Graceful Adept,,,32,0,,grafdigger's cage
,,Floating-Dream Zubera,,,32,0,,flooded grove
,,Guardian of Solitude,,,32,0,,gush
,,"Hisoka, Minamo Sensei",,,32,0,,hibernation
,,Hisoka's Guard,,,32,0,,hibernation
,,Hisoka's Defiance,,,32,0,,hibernation
,,Honden of Seeing Winds,,,32,0,,hope of ghirapur
,,Lifted by Clouds,,,32,0,,life // death
,,"Keiga, the Tide Star",,,32,0,,keen duelist
,,Kami of Twisted Reflection,,,32,0,,"kambal, consul of allocation"
,,Meloku the Clouded Mirror,,,32,0,,meltdown
,,Mystic Restraints,,,32,0,,mystic reflection
,,Peer Through Depths,,,32,0,,peer into the abyss
,,Part the Veil,,,32,0,,paradigm shift
,,Myojin of Seeing Winds,,,32,0,,mycosynth lattice
,,Petals of Insight,,,32,0,,peek
,,Psychic Puppetry,,,32,0,,psychic frog
,,Reweave,,,32,0,,reality shift
,,River Kaijin,,,32,0,,river of tears
,,Sire of the Storm,,,32,0,,sire of insanity
,,Reach Through Mists,,,32,0,,reality shift
,,Sift Through Sands,,,32,0,,siege-gang commander
,,Soratami Cloudskater,,,32,0,,sorcerous spyglass
,,Squelch,,,32,0,,"squee, dubious monarch"
,,Soratami Mirror-Guard,,,32,0,,sorcerous spyglass
,,Soratami Mirror-Mage,,,32,0,,sorcerous spyglass
,,Soratami Seer,,,32,0,,sorcerous spyglass
,,Soratami Savant,,,32,0,,sorcerous spyglass
,,Soratami Rainshaper,,,32,0,,sorcerous spyglass
,,Swirl the Mists,,,32,0,,swift reconfiguration
,,Thoughtbind,,,32,0,,thought erasure
,,Teller of Tales,,,32,0,,tear asunder
,,Wandering Ones,,,32,0,,wandering fumarole
,,The Unspeakable,,,32,0,,the book of exalted deeds
,,Blood Speaker,,,32,0,,blood sun
,,Ashen-Skin Zubera,,,32,0,,ashen rider
,,Cruel Deceiver,,,32,0,,cruelclaw's heist
,,Bloodthirsty Ogre,,,32,0,,bloodtithe harvester
,,Cursed Ronin,,,32,0,,cursed mirror
,,Cranial Extraction,,,32,0,,cranial plating
,,Dance of Shadows,,,32,0,,dance of the dead
,,Deathcurse Ogre,,,32,0,,death wish
,,Devouring Greed,,,32,0,,devoted druid
,,Gutwrencher Oni,,,32,0,,gut shot
,,Gibbering Kami,,,32,0,,gideon blackblade
,,Hideous Laughter,,,32,0,,hidetsugu consumes all // vessel of the all-consuming
,,He Who Hungers,,,32,0,,headliner scarlett
,,Kami of Lunacy,,,32,0,,"kambal, consul of allocation"
,,"Horobi, Death's Wail",,,32,0,,horizon canopy
,,"Iname, Death Aspect",,,32,0,,incinerate
,,Honden of Night's Reach,,,32,0,,hope of ghirapur
,,"Kokusho, the Evening Star",,,32,0,,kogla and yidaro
,,"Kuro, Pitlord",,,32,0,,"kura, the boundless sky"
,,Kami of the Waning Moon,,,32,0,,"kambal, consul of allocation"
,,"Kiku, Night's Flower",,,32,0,,"kiki-jiki, mirror breaker"
,,Nezumi Ronin,,,32,0,,nezumi informant
,,Midnight Covenant,,,32,0,,"migloz, maze crusher"
,,Nezumi Bone-Reader,,,32,0,,nezumi informant
,,Night Dealings,,,32,0,,night's whisper
,,Night of Souls' Betrayal,,,32,0,,night's whisper
,,Myojin of Night's Reach,,,32,0,,mycosynth lattice
,,Oni Possession,,,32,0,,on thin ice
,,Numai Outcast,,,32,0,,nuclear fallout
,,Pull Under,,,32,0,,punishing fire
,,Painwracker Oni,,,32,0,,painter's servant
,,Rag Dealer,,,32,0,,"ragavan, nimble pilferer"
,,Ragged Veins,,,32,0,,"raggadragga, goreguts boss"
,,Rend Flesh,,,32,0,,rending volley
,,Rend Spirit,,,32,0,,rending volley
,,Scuttling Death,,,32,0,,sculpting steel
,,Soulless Revival,,,32,0,,soulless jailer
,,Thief of Hope,,,32,0,,thief of existence
,,Swallowing Plague,,,32,0,,swan song
,,Villainous Ogre,,,32,0,,vindicate
,,Struggle for Sanity,,,32,0,,strangle
,,Wicked Akuba,,,32,0,,wild growth
,,"Seizan, Perverter of Truth",,,32,0,,"sea gate restoration // sea gate, reborn"
,,Waking Nightmare,,,32,0,,waker of waves
,,Akki Avalanchers,,,32,0,,"akal pakal, first among equals"
,,Akki Coalflinger,,,32,0,,"akal pakal, first among equals"
239,30,desperate ritual,R,1.138630319149,32,1,0.0313,
,,Battle-Mad Ronin,,,32,0,,battlefield forge
,,Akki Rockspeaker,,,32,0,,"akal pakal, first among equals"
,,Akki Underminer,,,32,0,,"akal pakal, first among equals"
,,Brothers Yamazaki,,,32,0,,brotherhood's end
,,Brutal Deceiver,,,32,0,,brutal cathar // moonrage brute
,,Blind with Anger,,,32,0,,blightsteel colossus
,,Crushing Pain,,,32,0,,crucible of worlds
,,"Ben-Ben, Akki Hermit",,,32,0,,beast within
,,Devouring Rage,,,32,0,,devoted druid
217.8333,28,"kiki-jiki, mirror breaker",R,7.887302194149,32,6,0.1875,
,,Glacial Ray,,,32,0,,glacial chasm
,,Earthshaker,,,32,0,,earthcraft
,,Frostwielder,,,32,0,,frostboil snarl
210,27,lava spike,R,4.138962765957,32,3,0.0938,
,,Ember-Fist Zubera,,,32,0,,embercleave
,,Hearth Kami,,,32,0,,headliner scarlett
,,Hanabi Blast,,,32,0,,hangarback walker
,,Mana Seism,,,32,0,,mana confluence
,,Mindblaze,,,32,0,,mindbreak trap
,,Honden of Infinite Rage,,,32,0,,hope of ghirapur
,,Kumano's Pupils,,,32,0,,kumano faces kakkazan // etching of kumano
,,"Kumano, Master Yamabushi",,,32,0,,kumano faces kakkazan // etching of kumano
,,Kami of Fire's Roar,,,32,0,,"kambal, consul of allocation"
233.6,30,through the breach,R,5.917553191489,32,5,0.1563,
,,Pain Kami,,,32,0,,painter's servant
,,Ore Gorger,,,32,0,,oracle of mul daya
,,Ronin Houndmaster,,,32,0,,rona's vortex
,,Myojin of Infinite Rage,,,32,0,,mycosynth lattice
,,Soul of Magma,,,32,0,,soul of windgrace
,,Sideswipe,,,32,0,,siege-gang commander
,,Sokenzan Bruiser,,,32,0,,"sokenzan, crucible of defiance"
,,Strange Inversion,,,32,0,,strangle
,,Tide of War,,,32,0,,tidehollow sculler
,,Shimatsu the Bloodcloaked,,,32,0,,shifting ceratops
,,Unearthly Blizzard,,,32,0,,unearth
,,Unnatural Speed,,,32,0,,unburial rites
199,25,glimpse of nature,G,1.47107712766,32,1,0.0313,
,,Burr Grafter,,,32,0,,burrenton forge-tender
,,Zo-Zu the Punisher,,,32,0,,"zabaz, the glimmerwasp"
,,Yamabushi's Flame,,,32,0,,"yasharn, implacable earth"
,,Yamabushi's Storm,,,32,0,,"yasharn, implacable earth"
,,Dosan the Falling Leaf,,,32,0,,dockside extortionist
,,Gale Force,,,32,0,,galvanic blast
,,Feast of Worms,,,32,0,,feed the swarm
,,Feral Deceiver,,,32,0,,fervor
,,Hana Kami,,,32,0,,hangarback walker
,,Dripping-Tongue Zubera,,,32,0,,dragon's claw
,,Humble Budoka,,,32,0,,humility
,,Honden of Life's Web,,,32,0,,hope of ghirapur
,,Joyous Respite,,,32,0,,"jolrael, mwonvuli recluse"
,,"Iname, Life Aspect",,,32,0,,incinerate
,,Kami of the Hunt,,,32,0,,"kambal, consul of allocation"
,,Jukai Messenger,,,32,0,,judge's familiar
,,"Jugan, the Rising Star",,,32,0,,judge's familiar
,,Kashi-Tribe Reaver,,,32,0,,kaito shizuki
,,Kodama of the North Tree,,,32,0,,kogla and yidaro
,,Kashi-Tribe Warriors,,,32,0,,kaito shizuki
,,Kodama's Might,,,32,0,,kogla and yidaro
,,Kodama of the South Tree,,,32,0,,kogla and yidaro
,,Nature's Will,,,32,0,,nature's claim
,,Matsu-Tribe Decoy,,,32,0,,matter reshaper
,,Moss Kami,,,32,0,,moat
,,Orbweaver Kumo,,,32,0,,oracle of mul daya
,,Orochi Leafcaller,,,32,0,,oracle of mul daya
,,Myojin of Life's Web,,,32,0,,mycosynth lattice
,,Rootrunner,,,32,0,,rootwater thief
,,Orochi Ranger,,,32,0,,oracle of mul daya
,,Orochi Sustainer,,,32,0,,oracle of mul daya
,,Serpent Skin,,,32,0,,serenity
,,Soilshaper,,,32,0,,soaring thought-thief
,,"Sachi, Daughter of Seshiro",,,32,0,,sacred foundry
,,Seshiro the Anointed,,,32,0,,"sea gate restoration // sea gate, reborn"
,,Time of Need,,,32,0,,time spiral
,,Thousand-legged Kami,,,32,0,,thousand-faced shadow
,,"Shisato, Whispering Hunter",,,32,0,,shifting ceratops
,,Vine Kami,,,32,0,,vineglimmer snarl
,,Venerable Kumo,,,32,0,,vendetta
,,Strength of Cedars,,,32,0,,street wraith
,,"Sosuke, Son of Seshiro",,,32,0,,soaring thought-thief
,,Wear Away,,,32,0,,wear // tear
,,General's Kabuto,,,32,0,,generous plunderer
,,Hankyu,,,32,0,,hangarback walker
,,Hair-Strung Koto,,,32,0,,hall of storm giants
,,Imi Statue,,,32,0,,immolation shaman
,,Jade Idol,,,32,0,,jace's defeat
,,Honor-Worn Shaku,,,32,0,,hope of ghirapur
,,Junkyo Bell,,,32,0,,judge's familiar
,,Kusari-Gama,,,32,0,,kuldotha rebirth
,,Konda's Banner,,,32,0,,kogla and yidaro
,,Long-Forgotten Gohei,,,32,0,,long goodbye
,,Moonring Mirror,,,32,0,,moon-circuit hacker
,,Nine-Ringed Bo,,,32,0,,ninja of the deep hours
144,18,"boseiju, who shelters all",,1.928191489362,32,1,0.0313,
,,No-Dachi,,,32,0,,no more lies
,,Reito Lantern,,,32,0,,reality shift
,,Uba Mask,,,32,0,,"ugin, the ineffable"
,,Shell of the Last Kappa,,,32,0,,shelldock isle
304,38,"minamo, school at water's edge",U,1.795212765957,32,3,0.0938,
,,Eiganjo Castle,,,32,0,,"eiganjo, seat of the empire"
,,"Tenza, Godo's Maul",,,32,0,,tendo ice bridge
,,Cloudcrest Lake,,,32,0,,cloud of faeries
,,"Oathkeeper, Takeno's Daisho",,,32,0,,oath of druids
,,"Tatsumasa, the Dragon's Fang",,,32,0,,taiga
,,Lantern-Lit Graveyard,,,32,0,,land tax
,,Hall of the Bandit Lord,,,32,0,,hall of storm giants
312.5,40,"abdel adrian, gorion's ward",W,1.055518617021,32,2,0.0625,
,,"Okina, Temple to the Grandfathers",,,32,0,,"oko, thief of crowns"
,,Waterveil Cavern,,,32,0,,waterlogged grove
,,Pinecrest Ridge,,,32,0,,pick your poison
,,Tranquil Garden,,,32,0,,transmute artifact
,,Faceless One,,,32,0,,fact or fiction
,,"Shizo, Death's Storehouse",,,32,0,,shifting ceratops
,,"Shinka, the Bloodsoaked Keep",,,32,0,,shifting ceratops
,,Archivist of Oghma,,,32,0,,archive trap
,,Ancient Gold Dragon,,,32,0,,ancient grudge
,,"Untaidake, the Cloud Keeper",,,32,0,,unburial rites
,,Banishment,,,32,0,,bandit's talent
,,Bane's Invoker,,,32,0,,bane of progress
,,Ascend from Avernus,,,32,0,,ash barrens
,,Astral Confrontation,,,32,0,,ash barrens
,,Battle Angels of Tyr,,,32,0,,battlefield forge
,,Contraband Livestock,,,32,0,,containment priest
,,Far Traveler,,,32,0,,farewell
,,Flaming Fist,,,32,0,,flame blitz
,,Beckoning Will-o'-Wisp,,,32,0,,become immense
331,42,"lae'zel, vlaakith's champion",W,0.374002659574,32,1,0.0313,
,,Githzerai Monk,,,32,0,,gitaxian probe
,,Flaming Fist Officer,,,32,0,,flame blitz
,,Goliath Paladin,,,32,0,,goldspan dragon
,,Greatsword of Tyr,,,32,0,,great furnace
,,"Ellyn Harbreeze, Busybody",,,32,0,,eladamri's call
,,Guiding Bolt,,,32,0,,gush
,,Inspiring Leader,,,32,0,,inspiring vantage
,,Icewind Stalwart,,,32,0,,ice-fang coatl
,,Hammers of Moradin,,,32,0,,hall of storm giants
,,Legion Loyalty,,,32,0,,legion extruder
,,Lae'zel's Acrobatics,,,32,0,,"lae'zel, vlaakith's champion"
,,Noble Heritage,,,32,0,,noble hierarch
,,Recruitment Drive,,,32,0,,recruiter of the guard
,,Rescuer Chwinga,,,32,0,,reshape
,,"Lulu, Loyal Hollyphant",,,32,0,,luminarch aspirant
,,Rasaad yn Bashir,,,32,0,,rack and ruin
,,Roving Harper,,,32,0,,robber of the rich
30.0645,4,white plume adventurer,W,89.128993517287,32,31,0.9688,
,,Slaughter the Strong,,,32,0,,slaughter pact
,,Sculpted Sunburst,,,32,0,,sculpting steel
,,Stoneskin,,,32,0,,stone of erech
,,Scouting Hawk,,,32,0,,scab-clan berserker
256.5,33,aarakocra sneak,U,1.986369680851,32,2,0.0625,
,,Steadfast Unicorn,,,32,0,,steam vents
,,Undercellar Sweep,,,32,0,,undercity sewers
,,Veteran Soldier,,,32,0,,vedalken shackles
,,Windshaper Planetar,,,32,0,,winds of abandon
,,Tabaxi Toucaneers,,,32,0,,taiga
,,Blur,,,32,0,,blue elemental blast
,,Ancient Silver Dragon,,,32,0,,ancient stirrings
254.8,32,displacer kitten,U,5.036569148936,32,5,0.1563,
,,"Alora, Merry Thief",,,32,0,,all is dust
,,Your Temple Is Under Attack,,,32,0,,you are already dead
,,You're Confronted by Robbers,,,32,0,,you are already dead
,,Bane's Contingency,,,32,0,,bane of progress
,,Wyrm's Crossing Patrol,,,32,0,,waker of waves
,,Candlekeep Inspiration,,,32,0,,candelabra of tawnos
,,Candlekeep Sage,,,32,0,,candelabra of tawnos
,,Cone of Cold,,,32,0,,concealed courtyard
,,Draconic Lore,,,32,0,,dragon's claw
,,Dream Fracture,,,32,0,,dreamroot cascade
,,Dragonborn Looter,,,32,0,,dragon's claw
,,Dungeon Delver,,,32,0,,duelist of the mind
,,Feywild Visitor,,,32,0,,feed the swarm
,,Font of Magic,,,32,0,,foil
,,Feywild Caretaker,,,32,0,,feed the swarm
,,Gale's Redirection,,,32,0,,galvanic blast
,,"Gale, Waterdeep Prodigy",,,32,0,,galvanic blast
,,Elminster's Simulacrum,,,32,0,,eladamri's call
,,Gray Harbor Merfolk,,,32,0,,gray merchant of asphodel
,,Goggles of Night,,,32,0,,goblin assault
,,Kenku Artificer,,,32,0,,keen duelist
,,Irenicus's Vile Duplication,,,32,0,,irencrag feat
,,Juvenile Mist Dragon,,,32,0,,judge's familiar
,,"Imoen, Mystic Trickster",,,32,0,,immolation shaman
,,Nimbleclaw Adept,,,32,0,,nimble obstructionist
,,Mystery Key,,,32,0,,mystic confluence
,,Lapis Orb of Dragonkind,,,32,0,,laboratory maniac
,,Oceanus Dragon,,,32,0,,ocelot pride
,,Modify Memory,,,32,0,,moat
,,Pseudodragon Familiar,,,32,0,,psionic blast
,,Sailors' Bane,,,32,0,,sail into the west
,,Stunning Strike,,,32,0,,stubborn denial
,,Shameless Charlatan,,,32,0,,shambling ghast
,,Sword Coast Sailor,,,32,0,,sword of body and mind
,,Robe of the Archmagi,,,32,0,,robber of the rich
,,"Renari, Merchant of Marvels",,,32,0,,rending volley
,,Tymora's Invoker,,,32,0,,"tyvar, jubilant brawler"
,,Winter Eladrin,,,32,0,,winter orb
,,Tomb of Horrors Adventurer,,,32,0,,tome scour
,,Wizards of Thay,,,32,0,,wild growth
,,"Volo, Itinerant Scholar",,,32,0,,volatile fault
,,"Vhal, Candlekeep Researcher",,,32,0,,v.a.t.s.
,,Armor of Shadows,,,32,0,,armored ascension
,,Ancient Brass Dragon,,,32,0,,ancient den
,,Arms of Hadar,,,32,0,,armageddon
,,Agent of the Iron Throne,,,32,0,,"agadeem's awakening // agadeem, the undercrypt"
,,Agent of the Shadow Thieves,,,32,0,,"agadeem's awakening // agadeem, the undercrypt"
,,Astarion's Thirst,,,32,0,,ash barrens
,,Blood Money,,,32,0,,blood moon
,,Atrocious Experiment,,,32,0,,"atraxa, grand unifier"
,,Bonecaller Cleric,,,32,0,,bonecrusher giant // stomp
,,Cloudkill,,,32,0,,cloud of faeries
,,Chain Devil,,,32,0,,chain lightning
,,Elder Brain,,,32,0,,elder gargaroth
,,Call to the Void,,,32,0,,call of the ring
,,Criminal Past,,,32,0,,crabomination
,,Eldritch Pact,,,32,0,,eldritch evolution
,,Ghastly Death Tyrant,,,32,0,,"ghalta, stampede tyrant"
,,Cultist of the Absolute,,,32,0,,culling ritual
251.4,32,passageway seer,B,5.177859042553,32,5,0.1563,
,,Mold Folk,,,32,0,,molten collapse
250.5,32,ravenloft adventurer,B,2.086103723404,32,2,0.0625,
,,Guildsworn Prowler,,,32,0,,gush
,,Nothic,,,32,0,,not dead after all
,,Intellect Devourer,,,32,0,,"inti, seneschal of the sun"
,,Myrkul's Edict,,,32,0,,myr battlesphere
,,Pact Weapon,,,32,0,,pact of negation
,,Myrkul's Invoker,,,32,0,,myr battlesphere
,,Nefarious Imp,,,32,0,,necrogen mists
,,Scion of Halaster,,,32,0,,scion of draco
,,Stirge,,,32,0,,stirring bard
,,"Sarevok, Deathbringer",,,32,0,,sarevok's tome
,,Sigil of Myrkul,,,32,0,,sigarda's aid
,,Summon Undead,,,32,0,,summoner's pact
,,"Safana, Calimport Cutthroat",,,32,0,,sacred foundry
,,"Shadowheart, Dark Justiciar",,,32,0,,shadow in the warp
,,Underdark Explorer,,,32,0,,undercity sewers
,,Vrock,,,32,0,,vryn wingmare
,,Vicious Battlerager,,,32,0,,vindicate
